epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6778,1.9179,3.17125,2.0976,0.00333,1,0.1993,0.06029,2.08324,4.0951,3.01773,0.00016,0.00016,0.00016
2,52.4237,1.67741,2.76604,1.98931,0.00273,0.81818,0.2302,0.05217,2.26825,3.91019,3.01778,0.000333268,0.000333268,0.000333268
3,79.275,1.68177,2.74213,1.89002,0.00318,0.95455,0.18792,0.07506,2.01976,3.84346,2.93137,0.000499408,0.000499408,0.000499408
4,106.347,1.67819,2.57596,1.84383,0.00288,0.86364,0.28145,0.10387,2.04242,3.787,2.98766,0.00065842,0.00065842,0.00065842
5,132.885,1.69865,2.50437,1.87738,0.00318,0.95455,0.0814,0.01526,2.92621,4.0413,3.94727,0.000810304,0.000810304,0.000810304
6,159.916,1.75407,2.46273,1.91709,0.12678,0.04545,0.07365,0.02043,2.85813,4.25973,3.98365,0.00095506,0.00095506,0.00095506
7,201.741,1.69914,2.37645,1.8626,0.22899,0.40909,0.2291,0.06694,2.31482,3.31453,3.88974,0.00109269,0.00109269,0.00109269
8,242.763,1.68793,2.4315,1.86385,0.20374,0.45455,0.16116,0.06209,2.66221,4.91754,4.40059,0.00122319,0.00122319,0.00122319
9,283.121,1.76037,2.35828,1.95153,0.30829,0.31818,0.25944,0.08803,2.53799,5.69427,4.49161,0.00134656,0.00134656,0.00134656
10,435.751,1.77701,2.32676,1.97956,0.26851,0.40909,0.21534,0.05317,2.82174,5.24319,4.45707,0.0014628,0.0014628,0.0014628
11,461.074,1.82041,2.29527,1.98853,0.44035,0.27273,0.25752,0.07234,2.24246,5.8795,3.37642,0.00157192,0.00157192,0.00157192
12,487.35,1.68318,2.31735,1.87388,0.4217,0.27273,0.24512,0.07362,2.46463,5.69529,3.83294,0.0015644,0.0015644,0.0015644
13,514.11,1.70589,2.17488,1.85675,0.31857,0.40909,0.29897,0.09381,2.63536,5.86317,4.10513,0.0015248,0.0015248,0.0015248
14,540.084,1.68508,2.22849,1.84516,0.16037,0.40909,0.12403,0.03426,2.78314,4.08747,4.01415,0.0014852,0.0014852,0.0014852
15,565.978,1.59093,2.1778,1.86024,0.30718,0.59091,0.30916,0.10857,2.34716,3.37286,3.43637,0.0014456,0.0014456,0.0014456
16,592.053,1.67112,2.12471,1.87014,0.36869,0.45455,0.21834,0.06029,2.7986,4.3921,4.31054,0.001406,0.001406,0.001406
17,617.711,1.64706,2.22594,1.82221,0.23738,0.28328,0.15134,0.04776,2.64452,5.6031,4.30483,0.0013664,0.0013664,0.0013664
18,643.522,1.64529,2.12456,1.84921,0.27274,0.40909,0.16576,0.04585,2.65377,5.58738,4.00797,0.0013268,0.0013268,0.0013268
19,669.324,1.6206,2.04046,1.83102,0.3217,0.59091,0.26924,0.07496,2.42245,6.04965,3.82833,0.0012872,0.0012872,0.0012872
20,695.701,1.55256,1.92108,1.76096,0.43398,0.54545,0.34164,0.10351,2.24778,3.56061,3.24464,0.0012476,0.0012476,0.0012476
21,747.541,1.60284,1.99425,1.8156,0.40427,0.63636,0.29656,0.09136,2.25238,3.00324,3.21056,0.001208,0.001208,0.001208
22,772.873,1.62166,2.11932,1.86329,0.09901,0.27273,0.07143,0.0214,2.70097,2.90707,3.6623,0.0011684,0.0011684,0.0011684
23,798.975,1.53125,2.01521,1.77291,0.31557,0.40909,0.27899,0.05896,2.60065,2.92297,3.4652,0.0011288,0.0011288,0.0011288
24,825.111,1.68101,2.01219,1.83688,0.44474,0.59091,0.38316,0.1164,2.33454,2.49088,3.11157,0.0010892,0.0010892,0.0010892
25,850.969,1.60276,1.86876,1.82232,0.43053,0.59091,0.36719,0.12083,2.29741,2.43052,3.03759,0.0010496,0.0010496,0.0010496
26,877.283,1.4842,1.85567,1.71044,0.33381,0.29667,0.16905,0.06988,2.2607,2.66159,2.92686,0.00101,0.00101,0.00101
27,903.622,1.43914,1.79853,1.70054,0.37414,0.31818,0.21475,0.08334,2.26415,2.64262,2.89643,0.0009704,0.0009704,0.0009704
28,929.834,1.53919,1.9196,1.75518,0.63107,0.54545,0.48418,0.14956,2.32018,2.51933,3.07961,0.0009308,0.0009308,0.0009308
29,956.098,1.51458,1.7948,1.7286,0.51837,0.44082,0.41044,0.13945,2.34547,2.561,3.05408,0.0008912,0.0008912,0.0008912
30,982.648,1.51064,1.78322,1.68582,0.72326,0.40909,0.46052,0.163,2.45699,2.5537,3.34282,0.0008516,0.0008516,0.0008516
31,1008.87,1.43803,1.70413,1.6522,0.75956,0.45455,0.54129,0.15632,2.43865,2.5121,3.26002,0.000812,0.000812,0.000812
32,1035.2,1.48787,1.75342,1.69182,0.38343,0.36764,0.33289,0.09682,2.4969,2.46713,3.35191,0.0007724,0.0007724,0.0007724
