epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,602.083,1.49052,2.00338,1.62934,0.4734,0.42839,0.30109,0.15105,2.06006,3.46374,2.27171,0.000661765,0.000661765,0.000661765
2,1195.08,1.65697,1.89552,1.75721,0.30952,0.24258,0.16453,0.06892,2.78226,3.11677,2.87645,0.00130213,0.00130213,0.00130213
3,1786.45,1.69995,1.867,1.77659,0.41048,0.36774,0.28257,0.12868,2.50914,2.62303,2.64033,0.00191609,0.00191609,0.00191609
4,2376.75,1.68292,1.8029,1.76475,0.31711,0.33484,0.19257,0.08474,2.46232,3.13865,2.64572,0.0018812,0.0018812,0.0018812
5,2967.44,1.65731,1.78171,1.74418,0.48562,0.41783,0.33327,0.18471,2.1443,2.50684,2.26382,0.0018416,0.0018416,0.0018416
6,3557.91,1.5944,1.66526,1.70726,0.5083,0.44452,0.34809,0.20983,2.10435,2.52528,2.26924,0.001802,0.001802,0.001802
7,4150.17,1.59858,1.69308,1.7136,0.54311,0.45161,0.37675,0.22826,1.9422,2.37935,2.16988,0.0017624,0.0017624,0.0017624
8,4757.81,1.52824,1.62903,1.65617,0.54591,0.47677,0.33987,0.19464,2.06371,2.34357,2.23737,0.0017228,0.0017228,0.0017228
9,5361.19,1.48012,1.57852,1.60382,0.60209,0.45784,0.42383,0.25663,1.95297,2.279,2.09361,0.0016832,0.0016832,0.0016832
10,5970.72,1.47979,1.56251,1.6144,0.56542,0.51226,0.36152,0.21689,1.94361,2.18234,2.14306,0.0016436,0.0016436,0.0016436
11,6574.96,1.43298,1.48149,1.57488,0.54785,0.49677,0.41065,0.25294,1.95835,2.11984,2.15693,0.001604,0.001604,0.001604
12,7220.64,1.44221,1.49545,1.57471,0.58769,0.52387,0.38695,0.24359,1.83587,2.04337,2.00829,0.0015644,0.0015644,0.0015644
13,7868.31,1.402,1.45788,1.54887,0.52602,0.49742,0.39182,0.25635,1.86202,2.17176,2.06986,0.0015248,0.0015248,0.0015248
14,8527.37,1.39055,1.43528,1.54536,0.66223,0.45677,0.43061,0.28216,1.98849,2.24407,2.2071,0.0014852,0.0014852,0.0014852
15,9161.69,1.38787,1.44313,1.54741,0.57111,0.51374,0.4037,0.2586,1.8733,2.07116,2.06904,0.0014456,0.0014456,0.0014456
16,9786.64,1.36212,1.39278,1.517,0.60688,0.51484,0.45169,0.29508,1.82032,1.94976,2.01171,0.001406,0.001406,0.001406
17,10390.5,1.35033,1.41159,1.51575,0.59742,0.48387,0.4307,0.28593,1.81927,2.0566,2.01199,0.0013664,0.0013664,0.0013664
18,10987.2,1.35202,1.39794,1.52021,0.60754,0.48839,0.43159,0.28622,1.83321,1.99772,2.08425,0.0013268,0.0013268,0.0013268
19,11585.6,1.34511,1.3965,1.51502,0.63519,0.49355,0.46808,0.302,1.82169,1.95857,2.04308,0.0012872,0.0012872,0.0012872
20,12181.2,1.31817,1.35266,1.48785,0.55828,0.51484,0.36894,0.23434,1.78397,2.06758,2.06252,0.0012476,0.0012476,0.0012476
21,12776.9,1.32406,1.3717,1.5073,0.57045,0.52065,0.41164,0.26804,1.82803,2.10909,2.10611,0.001208,0.001208,0.001208
22,13372.1,1.28676,1.34493,1.47614,0.61366,0.49701,0.42969,0.28026,1.83993,2.09834,2.07743,0.0011684,0.0011684,0.0011684
23,13965.7,1.29142,1.34706,1.46996,0.58962,0.53419,0.39845,0.26029,1.72282,1.99659,1.96331,0.0011288,0.0011288,0.0011288
24,14558.7,1.29311,1.35727,1.48491,0.5848,0.54968,0.39114,0.25141,1.74434,2.04916,1.96394,0.0010892,0.0010892,0.0010892
25,15148.5,1.26439,1.29608,1.45544,0.5774,0.53935,0.38417,0.24998,1.77126,2.04822,2.01034,0.0010496,0.0010496,0.0010496
26,15743.9,1.2877,1.33265,1.46957,0.57939,0.55677,0.40057,0.25694,1.74329,1.95501,1.96079,0.00101,0.00101,0.00101
27,16352.7,1.26431,1.30045,1.45854,0.57567,0.53567,0.39203,0.25177,1.71767,1.97602,1.93218,0.0009704,0.0009704,0.0009704
28,16963.7,1.2602,1.29221,1.45515,0.63691,0.48774,0.44357,0.30045,1.83903,2.10024,2.05288,0.0009308,0.0009308,0.0009308
29,17573.9,1.22189,1.25704,1.42088,0.7037,0.48,0.47402,0.31696,1.88207,2.0793,2.13027,0.0008912,0.0008912,0.0008912
30,18183.9,1.21801,1.28242,1.42822,0.60414,0.54252,0.44237,0.29344,1.7842,2.00994,2.005,0.0008516,0.0008516,0.0008516
31,18798.9,1.24241,1.26994,1.44867,0.59211,0.55631,0.40246,0.25796,1.70986,1.98112,1.92526,0.000812,0.000812,0.000812
32,19413.2,1.22221,1.27147,1.43007,0.59784,0.54774,0.47304,0.31331,1.74754,1.93715,1.94804,0.0007724,0.0007724,0.0007724
33,20009.6,1.20061,1.23032,1.4017,0.61494,0.53679,0.44717,0.29479,1.78183,1.95916,2.00975,0.0007328,0.0007328,0.0007328
34,20619.7,1.19512,1.22338,1.40776,0.58429,0.57097,0.42939,0.28138,1.73615,1.95216,1.95684,0.0006932,0.0006932,0.0006932
35,21214.4,1.18668,1.19796,1.39944,0.61361,0.53613,0.47543,0.31558,1.84436,1.97699,2.05024,0.0006536,0.0006536,0.0006536
36,21808.6,1.18515,1.22297,1.3936,0.609,0.5376,0.49187,0.32924,1.80533,1.916,2.02322,0.000614,0.000614,0.000614
37,22404.3,1.18453,1.21679,1.40987,0.61091,0.56017,0.4716,0.31218,1.76127,1.93826,1.98494,0.0005744,0.0005744,0.0005744
38,23003.9,1.15766,1.17074,1.38366,0.62068,0.54194,0.46626,0.30096,1.76301,1.9763,2.00322,0.0005348,0.0005348,0.0005348
39,23594.6,1.14723,1.1791,1.36045,0.61944,0.55763,0.47529,0.31685,1.74487,1.90549,1.9743,0.0004952,0.0004952,0.0004952
40,24193.6,1.14527,1.17523,1.36216,0.66165,0.50452,0.47399,0.31509,1.84618,1.98878,2.04572,0.0004556,0.0004556,0.0004556
