epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4162,2.1912,2.89986,2.5297,0.003,0.9,0.08904,0.02524,2.04633,4.13033,3.01555,8e-05,8e-05,8e-05
2,32.436,1.70773,2.57891,2.06763,0.00217,0.65,0.11562,0.03142,2.21119,4.01725,3.20933,0.000176436,0.000176436,0.000176436
3,49.1631,1.6001,2.23248,1.9584,0.00167,0.5,0.12258,0.04606,2.5271,4.4469,3.69956,0.000268912,0.000268912,0.000268912
4,66.1553,1.52727,2.12362,1.8381,0.00167,0.5,0.15178,0.06298,2.50188,4.23995,3.64028,0.000357428,0.000357428,0.000357428
5,83.1841,1.38165,1.92643,1.72638,0.00167,0.5,0.1666,0.08526,2.42311,4.08619,3.45251,0.000441984,0.000441984,0.000441984
6,100.176,1.45553,1.9901,1.82892,0.00407,0.55,0.15263,0.08263,2.32773,4.09756,3.32173,0.00052258,0.00052258,0.00052258
7,117.327,1.52045,1.8353,1.81956,0.00167,0.5,0.12073,0.04384,2.8094,4.03933,3.87811,0.000599216,0.000599216,0.000599216
8,134.331,1.46775,1.76406,1.72606,0.11319,0.05,0.05425,0.02046,2.79654,4.11016,3.63467,0.000671892,0.000671892,0.000671892
9,151.707,1.4077,1.74565,1.71221,0.07961,0.05,0.09183,0.04205,3.36236,4.35713,4.22517,0.000740608,0.000740608,0.000740608
10,168.807,1.45808,1.70057,1.74813,0.23678,0.06379,0.12276,0.02212,3.29393,4.22609,4.36681,0.000805364,0.000805364,0.000805364
11,185.992,1.35829,1.58173,1.64023,0.15512,0.05,0.06007,0.01361,2.81692,4.14169,3.86968,0.00086616,0.00086616,0.00086616
12,202.881,1.32986,1.53401,1.66483,0.06713,0.05,0.02158,0.00735,2.79887,4.2574,3.86102,0.000922996,0.000922996,0.000922996
13,219.955,1.42342,1.6156,1.68682,0.0025,0.75,0.011,0.00363,2.72573,4.401,3.67374,0.000975872,0.000975872,0.000975872
14,237.112,1.37128,1.55566,1.64839,0.09479,0.05,0.01467,0.006,3.2325,4.19435,4.41299,0.00102479,0.00102479,0.00102479
15,255.062,1.2975,1.40684,1.60488,0.32459,0.3,0.13327,0.03718,3.30365,3.42479,5.22044,0.00106974,0.00106974,0.00106974
16,273.588,1.3989,1.52147,1.72532,0.19921,0.35,0.11861,0.0358,2.87176,3.56118,4.48497,0.00111074,0.00111074,0.00111074
17,292.351,1.33668,1.4303,1.64646,0.36471,0.25,0.1326,0.06573,2.63248,3.59315,4.08755,0.00114778,0.00114778,0.00114778
18,310.93,1.37569,1.5182,1.6296,0.41119,0.2,0.16243,0.04981,2.83841,3.90215,4.09003,0.00118085,0.00118085,0.00118085
19,329.923,1.35521,1.51102,1.67234,0.4678,0.15,0.15537,0.0268,3.13859,5.00032,4.37546,0.00120997,0.00120997,0.00120997
20,348.761,1.29942,1.43384,1.58144,0.1365,0.35,0.11862,0.03158,2.93383,5.46868,4.83561,0.00123512,0.00123512,0.00123512
21,367.763,1.37628,1.42276,1.6648,0.24563,0.1,0.08862,0.02222,2.80821,5.28019,4.32408,0.001208,0.001208,0.001208
22,387.075,1.33597,1.38081,1.62811,0.40871,0.2,0.12524,0.03302,2.66797,6.78598,4.22275,0.0011684,0.0011684,0.0011684
23,407.037,1.34261,1.43895,1.62017,0.44943,0.2,0.16553,0.03965,2.75638,5.62134,4.70252,0.0011288,0.0011288,0.0011288
24,430.261,1.34839,1.34968,1.64732,0.2153,0.15,0.05968,0.01408,2.77252,6.29464,4.65791,0.0010892,0.0010892,0.0010892
25,482.279,1.24473,1.29051,1.55891,0.25738,0.15,0.07225,0.0188,2.96242,5.78472,4.86077,0.0010496,0.0010496,0.0010496
26,553.612,1.23993,1.31238,1.53531,0.12207,0.1,0.03832,0.00632,3.16952,5.72374,5.00606,0.00101,0.00101,0.00101
27,577.127,1.30098,1.30063,1.61933,0.0712,0.1,0.02434,0.00521,3.09199,5.35258,4.77647,0.0009704,0.0009704,0.0009704
28,596.266,1.17314,1.21786,1.48237,0.37689,0.2,0.12595,0.03073,2.94378,4.15855,4.64722,0.0009308,0.0009308,0.0009308
29,616.461,1.18629,1.22007,1.52937,0.27096,0.3,0.14104,0.02701,3.24016,3.43836,4.92774,0.0008912,0.0008912,0.0008912
30,637.073,1.24113,1.34601,1.62429,0.18329,0.3,0.096,0.02213,3.07034,3.36159,4.72731,0.0008516,0.0008516,0.0008516
31,658.374,1.21104,1.21791,1.56301,0.31259,0.4,0.15902,0.03479,3.17282,2.94974,4.87639,0.000812,0.000812,0.000812
32,679.402,1.17059,1.23053,1.49976,0.35596,0.5,0.19105,0.05325,3.126,2.93823,4.78817,0.0007724,0.0007724,0.0007724
33,700.301,1.16953,1.19541,1.51032,0.30983,0.35,0.13446,0.03496,2.95559,3.79084,4.46367,0.0007328,0.0007328,0.0007328
34,721.074,1.13561,1.11477,1.4502,0.26813,0.3,0.09754,0.02553,3.02716,4.1178,4.51646,0.0006932,0.0006932,0.0006932
35,742.676,1.14338,1.10486,1.48102,0.21463,0.25,0.09614,0.02291,2.98966,4.11855,4.52793,0.0006536,0.0006536,0.0006536
36,763.722,1.11714,1.15773,1.48543,0.3397,0.35,0.14765,0.04069,3.17935,3.12473,4.84094,0.000614,0.000614,0.000614
37,784.736,1.07832,1.07931,1.46385,0.36238,0.35,0.14883,0.04748,3.14817,3.19408,4.74644,0.0005744,0.0005744,0.0005744
38,805.603,1.1344,1.0575,1.4281,0.34218,0.4,0.15415,0.04549,3.22183,3.0693,4.9204,0.0005348,0.0005348,0.0005348
39,826.198,1.08568,1.14307,1.45866,0.35842,0.39139,0.16654,0.04222,3.28438,2.66681,5.16224,0.0004952,0.0004952,0.0004952
40,846.855,1.08944,1.0882,1.41311,0.36403,0.35,0.16383,0.0444,3.24775,2.59821,5.21043,0.0004556,0.0004556,0.0004556
41,867.173,1.14797,1.51639,1.6508,0.40532,0.35,0.17528,0.0476,3.15452,2.74569,4.97066,0.000416,0.000416,0.000416
42,887.607,1.03352,1.4524,1.65693,0.40832,0.35,0.17459,0.05596,3.05169,2.81112,4.61626,0.0003764,0.0003764,0.0003764
43,908.375,0.9354,1.31821,1.53608,0.44354,0.39862,0.18689,0.0626,2.92403,3.12184,4.15594,0.0003368,0.0003368,0.0003368
