epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8195,2.37092,2.95319,2.59471,0.003,0.9,0.00361,0.00117,2.31527,5.19093,3.54621,4e-05,4e-05,4e-05
2,19.8838,2.18024,2.94313,2.38998,0.003,0.9,0.00543,0.00134,2.3468,4.84929,3.50744,9.802e-05,9.802e-05,9.802e-05
3,28.6861,1.76149,2.56804,2.12544,0.00267,0.8,0.01219,0.00201,2.4723,4.87099,3.56127,0.000153664,0.000153664,0.000153664
4,37.2276,1.80445,2.28866,2.03545,0.00233,0.7,0.00473,0.00059,2.62434,4.79931,3.65635,0.000206932,0.000206932,0.000206932
5,45.7344,1.69749,2.12976,1.92529,0.00267,0.8,0.01537,0.00184,2.66551,4.70664,3.60168,0.000257824,0.000257824,0.000257824
6,54.3942,1.53199,2.04115,1.84846,0.00267,0.8,0.00528,0.00082,2.98709,4.65284,3.63752,0.00030634,0.00030634,0.00030634
7,63.111,1.56171,1.95436,1.7827,0.00267,0.8,0.0104,0.00134,3.2396,4.74564,3.82147,0.00035248,0.00035248,0.00035248
8,71.6515,1.3672,1.74198,1.64809,0.002,0.6,0.00493,0.00053,3.36869,5.02224,4.04364,0.000396244,0.000396244,0.000396244
9,80.45,1.40783,1.78859,1.69415,0.001,0.3,0.00369,0.00042,3.53649,4.89945,4.62207,0.000437632,0.000437632,0.000437632
10,89.1703,1.49124,1.66738,1.70714,0.00067,0.2,0.00174,0.00031,3.66617,4.83343,4.66077,0.000476644,0.000476644,0.000476644
11,97.9328,1.42763,1.90546,1.79523,0.00067,0.2,0.00174,0.00031,3.94892,5.35297,4.57478,0.00051328,0.00051328,0.00051328
12,106.381,1.45353,1.6596,1.72444,0.00033,0.1,0.00023,6e-05,3.96069,5.30941,4.55989,0.00054754,0.00054754,0.00054754
