epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.15479,2.99416,3.78806,3.2939,0.00333,1,0.06642,0.0078,2.28252,4.75447,3.67048,2e-05,2e-05,2e-05
2,11.4829,2.68507,3.73395,2.62225,0.00333,1,0.04507,0.00581,2.34517,4.68757,3.56791,5.8812e-05,5.8812e-05,5.8812e-05
3,16.8172,2.78214,3.88098,2.82436,0.00333,1,0.0593,0.00742,2.19677,4.53664,3.42514,9.604e-05,9.604e-05,9.604e-05
4,22.1487,2.58059,3.56483,2.54474,0.00333,1,0.18548,0.02211,2.41154,4.45824,3.39387,0.000131684,0.000131684,0.000131684
5,27.4795,2.60089,3.79246,2.50774,0.00333,1,0.21484,0.02696,2.72925,4.73378,3.24987,0.000165744,0.000165744,0.000165744
6,32.8679,2.22229,3.52739,2.19394,0.00333,1,0.07018,0.01452,2.63645,5.17885,3.03446,0.00019822,0.00019822,0.00019822
7,38.1616,2.4474,3.60857,2.34754,0.00333,1,0.1488,0.02814,2.75067,4.81363,2.96509,0.000229112,0.000229112,0.000229112
8,43.5579,2.30414,3.11162,2.16445,0.00333,1,0.23892,0.04927,2.82373,4.87269,2.78945,0.00025842,0.00025842,0.00025842
9,48.794,2.19596,3.60108,2.15838,0.00333,1,0.45441,0.07264,2.89204,4.73096,2.92623,0.000286144,0.000286144,0.000286144
10,54.062,2.06273,2.94648,2.05711,0.00333,1,0.49554,0.08738,2.89734,4.68226,2.88274,0.000312284,0.000312284,0.000312284
11,59.372,2.27049,3.30261,2.16308,0.00333,1,0.4831,0.09312,2.71128,4.51285,2.67355,0.00033684,0.00033684,0.00033684
12,64.9121,1.97685,2.99342,2.0143,0.00333,1,0.49667,0.10132,2.61234,4.47621,2.40951,0.000359812,0.000359812,0.000359812
13,70.1118,1.98275,3.07484,1.96554,0.00333,1,0.41526,0.09175,2.47045,4.42769,2.25466,0.0003812,0.0003812,0.0003812
14,75.6415,1.95292,3.1226,2.00556,0.00333,1,0.24799,0.06271,2.3682,4.3671,2.11285,0.000401004,0.000401004,0.000401004
15,80.8608,1.97351,2.91517,2.08439,0.00333,1,0.33026,0.07,2.36234,4.27685,2.10901,0.000419224,0.000419224,0.000419224
