epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9799,2.00464,3.27064,2.20877,0.00318,0.95455,0.14296,0.03983,1.94696,4.01225,2.98538,0.00016,0.00016,0.00016
2,61.1918,1.79269,2.84242,1.99971,0.00288,0.86364,0.11482,0.03259,2.31485,4.18065,3.22156,0.000333268,0.000333268,0.000333268
3,91.5083,1.712,2.76807,1.89089,0.00242,0.72727,0.09599,0.03016,2.36202,4.05416,3.28912,0.000499408,0.000499408,0.000499408
4,121.628,1.61993,2.57515,1.83626,0.00258,0.77273,0.06589,0.01944,2.53141,4.02714,3.88264,0.00065842,0.00065842,0.00065842
5,151.934,1.72186,2.54143,1.89205,0.00227,0.68182,0.06994,0.02104,2.5987,4.09507,3.33677,0.000810304,0.000810304,0.000810304
6,182.051,1.66191,2.54631,1.85832,0.09634,0.27273,0.08724,0.02434,2.73876,4.0021,3.77382,0.00095506,0.00095506,0.00095506
7,212.448,1.7334,2.50308,1.8767,0.1149,0.22727,0.06894,0.01333,2.97888,4.16146,3.89517,0.00109269,0.00109269,0.00109269
8,242.651,1.6458,2.415,1.85202,0.21289,0.04545,0.07787,0.01847,3.08359,3.94071,3.71582,0.00122319,0.00122319,0.00122319
9,273.051,1.78006,2.42974,1.95922,0.44639,0.09091,0.10679,0.02608,2.53637,5.43104,4.01358,0.00134656,0.00134656,0.00134656
10,304.054,1.80296,2.38809,1.94147,0.44842,0.36364,0.24969,0.07086,2.33631,3.65647,3.43647,0.0014628,0.0014628,0.0014628
11,335.795,1.71137,2.35983,1.8849,0.27516,0.31818,0.26148,0.10532,2.61575,4.32206,3.64488,0.00157192,0.00157192,0.00157192
12,366.536,1.71265,2.21111,1.85961,0.02927,0.18182,0.01854,0.00303,3.70741,9.73038,5.41329,0.0015644,0.0015644,0.0015644
13,397.043,1.70736,2.29966,1.88723,0.38202,0.13636,0.12312,0.02881,2.75741,4.17438,4.03153,0.0015248,0.0015248,0.0015248
14,427.304,1.70391,2.30674,1.86657,0.13964,0.36364,0.13041,0.0461,2.46821,3.80341,3.84514,0.0014852,0.0014852,0.0014852
15,457.577,1.72849,2.38904,1.88094,0.29934,0.36364,0.2628,0.07218,2.62188,4.16035,4.06762,0.0014456,0.0014456,0.0014456
16,488.935,1.65513,2.26295,1.89736,0.38253,0.40909,0.23809,0.05402,3.02498,4.37732,5.22853,0.001406,0.001406,0.001406
17,520.609,1.67324,2.22913,1.85747,0.44469,0.5,0.33739,0.10085,2.81991,3.43633,4.27051,0.0013664,0.0013664,0.0013664
18,552.257,1.70708,2.1736,1.90376,0.30047,0.22727,0.15842,0.04484,2.97035,3.5111,4.95915,0.0013268,0.0013268,0.0013268
19,582.651,1.63949,2.10976,1.88465,0.26156,0.40909,0.24088,0.08617,2.50564,2.93074,3.85099,0.0012872,0.0012872,0.0012872
20,614.115,1.71317,2.09166,1.84053,0.06815,0.45455,0.08537,0.03682,2.43828,3.51909,3.30989,0.0012476,0.0012476,0.0012476
21,645.192,1.64096,2.08254,1.79903,0.3759,0.31818,0.24125,0.09638,2.46143,2.54747,3.24782,0.001208,0.001208,0.001208
22,677.453,1.65023,1.997,1.80737,0.30365,0.54545,0.25802,0.07685,2.57364,2.38827,3.94196,0.0011684,0.0011684,0.0011684
23,708.452,1.65122,1.9983,1.82132,0.43723,0.27273,0.23912,0.0839,2.81173,3.32708,4.20601,0.0011288,0.0011288,0.0011288
24,740.372,1.67919,2.14504,1.89521,0.15482,0.40909,0.12461,0.04266,2.18126,3.33942,3.06349,0.0010892,0.0010892,0.0010892
25,771.419,1.52749,1.96341,1.70955,0.20182,0.27273,0.13757,0.06059,1.96384,3.09998,2.77633,0.0010496,0.0010496,0.0010496
26,802.078,1.56316,1.92212,1.7647,0.32094,0.45455,0.23787,0.08691,2.19875,2.78186,3.0872,0.00101,0.00101,0.00101
27,832.489,1.54923,1.97408,1.74393,0.30345,0.40909,0.27939,0.07954,2.49782,3.07608,3.29172,0.0009704,0.0009704,0.0009704
28,863.047,1.57033,1.93209,1.72409,0.19353,0.40909,0.19179,0.0646,2.46356,3.55158,3.31797,0.0009308,0.0009308,0.0009308
29,893.281,1.46998,1.84392,1.77,0.43167,0.54545,0.29189,0.08838,2.38224,2.96906,3.3108,0.0008912,0.0008912,0.0008912
30,923.594,1.48108,1.84261,1.7313,0.50759,0.36364,0.3831,0.1129,2.05397,2.98159,3.0219,0.0008516,0.0008516,0.0008516
31,954.184,1.51948,1.86413,1.70753,0.37016,0.401,0.31978,0.11404,2.22255,2.62576,3.15634,0.000812,0.000812,0.000812
32,985.189,1.49303,1.81064,1.73272,0.49137,0.54545,0.43658,0.15857,2.34067,2.16619,3.1999,0.0007724,0.0007724,0.0007724
33,1015.8,1.5203,1.74166,1.6912,0.62987,0.5,0.47669,0.15637,2.41349,2.20957,3.23072,0.0007328,0.0007328,0.0007328
34,1047.44,1.41429,1.71452,1.62958,0.55746,0.63006,0.5362,0.18237,2.23379,2.34836,3.0475,0.0006932,0.0006932,0.0006932
35,1078.98,1.4238,1.73768,1.63356,0.60641,0.63636,0.50746,0.16965,2.21134,2.29949,3.12613,0.0006536,0.0006536,0.0006536
36,1109.55,1.42429,1.65159,1.69812,0.57965,0.54545,0.4406,0.18067,2.21696,2.19591,3.1006,0.000614,0.000614,0.000614
37,1140.14,1.38998,1.56512,1.60471,0.58097,0.56773,0.43977,0.14276,2.32686,2.28305,3.09959,0.0005744,0.0005744,0.0005744
38,1170.39,1.40676,1.60898,1.62562,0.42464,0.43661,0.38234,0.12042,2.36865,2.47867,3.05692,0.0005348,0.0005348,0.0005348
39,1201.01,1.32987,1.57266,1.58378,0.4166,0.5,0.3688,0.12903,2.20968,2.32722,2.98358,0.0004952,0.0004952,0.0004952
40,1231.45,1.34006,1.63087,1.59443,0.50729,0.51524,0.3914,0.15366,2.21165,2.22723,3.02726,0.0004556,0.0004556,0.0004556
41,1261.67,1.35638,1.88792,1.72653,0.61246,0.54545,0.43419,0.16739,2.22313,2.17529,3.11435,0.000416,0.000416,0.000416
42,1291.69,1.26217,1.78928,1.74382,0.62267,0.54545,0.40909,0.16822,2.28484,2.2577,3.24785,0.0003764,0.0003764,0.0003764
43,1321.86,1.23213,1.60201,1.59708,0.63083,0.54379,0.42987,0.18334,2.29919,2.33467,3.32238,0.0003368,0.0003368,0.0003368
44,1352.45,1.2366,1.61064,1.65814,0.63079,0.63636,0.44988,0.1671,2.39102,2.33474,3.47421,0.0002972,0.0002972,0.0002972
45,1382.93,1.27177,1.6328,1.65944,0.65069,0.63636,0.4485,0.16244,2.37272,2.40223,3.39819,0.0002576,0.0002576,0.0002576
46,1413.4,1.20588,1.47149,1.67608,0.65526,0.63636,0.45887,0.17555,2.24614,2.43671,3.24167,0.000218,0.000218,0.000218
47,1445.11,1.12477,1.46149,1.60485,0.6596,0.63636,0.45224,0.16576,2.15043,2.38716,3.15133,0.0001784,0.0001784,0.0001784
48,1475.79,1.11959,1.37491,1.57167,0.61242,0.59091,0.43419,0.17585,2.1241,2.33719,3.16004,0.0001388,0.0001388,0.0001388
49,1505.72,1.22285,1.4238,1.65701,0.65903,0.63636,0.46675,0.18036,2.0975,2.35246,3.11202,9.92e-05,9.92e-05,9.92e-05
50,1535.67,1.16437,1.41421,1.64043,0.63304,0.63636,0.4604,0.18942,2.11835,2.3524,3.12782,5.96e-05,5.96e-05,5.96e-05
