epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.2837,1.91811,3.14733,2.0853,0.003,0.9,0.12029,0.03632,1.90257,4.03461,3.02203,0.00018,0.00018,0.00018
2,108.09,1.69077,2.90372,1.94318,0.003,0.9,0.09139,0.0237,2.07474,4.21217,3.04879,0.000372476,0.000372476,0.000372476
3,135.913,1.76038,2.70647,1.95361,0.00233,0.7,0.1482,0.05414,2.63158,4.20827,3.56684,0.000557032,0.000557032,0.000557032
4,163.993,1.67772,2.5549,1.85255,0.00233,0.7,0.19581,0.05773,2.63351,4.14826,3.71953,0.000733668,0.000733668,0.000733668
5,192.912,1.67769,2.45414,1.88128,0.49014,0.15,0.18072,0.03332,3.07433,4.12532,3.72126,0.000902384,0.000902384,0.000902384
6,221.354,1.68624,2.65234,1.83214,0.13544,0.4,0.09777,0.01903,2.82321,3.86601,3.97609,0.00106318,0.00106318,0.00106318
7,250.368,1.69083,2.4651,1.90095,0.06319,0.1,0.02306,0.00513,3.3203,4.41502,4.54956,0.00121606,0.00121606,0.00121606
8,279.624,1.66777,2.49573,1.86876,0.06789,0.3,0.03728,0.01191,2.80849,3.94962,4.04121,0.00136101,0.00136101,0.00136101
9,309.791,1.7308,2.32998,1.92031,0.11675,0.25,0.04839,0.01078,2.6882,7.21781,4.94619,0.00149805,0.00149805,0.00149805
10,621.129,1.69272,2.3074,1.8919,0.01845,0.15,0.0097,0.00226,3.24187,4.71044,5.26993,0.00162716,0.00162716,0.00162716
11,656.121,1.88336,2.43547,1.97695,0.01443,0.5,0.01027,0.00272,2.97978,4.10336,5.46679,0.001604,0.001604,0.001604
12,690.606,1.74913,2.28238,1.92429,0.19004,0.4,0.13842,0.05271,2.76057,3.44381,5.02342,0.0015644,0.0015644,0.0015644
13,725.158,1.81679,2.35004,1.96525,0.37047,0.3,0.27798,0.10731,2.53061,4.58303,4.22365,0.0015248,0.0015248,0.0015248
14,760.456,1.76202,2.23936,1.91065,0.23839,0.25,0.12595,0.05905,2.28843,4.34489,3.40586,0.0014852,0.0014852,0.0014852
15,820.627,1.74848,2.29792,1.9146,0.27805,0.3,0.17165,0.04767,2.78321,3.43182,4.00712,0.0014456,0.0014456,0.0014456
16,855.771,1.66181,2.14065,1.87048,0.25683,0.3,0.10313,0.02674,2.8224,3.98154,4.3275,0.001406,0.001406,0.001406
17,890.983,1.65207,2.10186,1.86408,0.17232,0.45,0.11562,0.02471,3.00589,4.90256,4.70078,0.0013664,0.0013664,0.0013664
18,925.879,1.65504,2.12673,1.86213,0.16291,0.4,0.12372,0.02471,2.95764,3.81748,4.5454,0.0013268,0.0013268,0.0013268
19,960.543,1.62091,2.11964,1.81172,0.25947,0.2,0.09693,0.02234,2.99884,3.14583,4.13354,0.0012872,0.0012872,0.0012872
20,995.693,1.59022,2.11298,1.79723,0.23753,0.25,0.09148,0.02091,3.49209,3.30132,4.70406,0.0012476,0.0012476,0.0012476
21,1041.18,1.63191,1.96668,1.8386,0.58309,0.2,0.20898,0.0818,2.66441,3.43349,3.74229,0.001208,0.001208,0.001208
22,1132.26,1.59298,1.98313,1.82519,0.49585,0.3,0.27557,0.13397,2.56711,3.20409,3.55605,0.0011684,0.0011684,0.0011684
23,1161.46,1.59077,2.00488,1.78165,0.32838,0.3,0.23282,0.08917,2.66004,2.99834,3.4565,0.0011288,0.0011288,0.0011288
24,1191.29,1.52912,1.92478,1.70043,0.51911,0.35,0.26932,0.10037,2.35959,2.77457,3.24525,0.0010892,0.0010892,0.0010892
