epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.83171,2.37092,2.95319,2.59471,0.003,0.9,0.00361,0.00117,2.31527,5.19093,3.54621,4e-05,4e-05,4e-05
2,17.3592,2.17916,2.94249,2.38899,0.00333,1,0.00638,0.00135,2.34755,4.85561,3.51114,9.901e-05,9.901e-05,9.901e-05
3,26.14,1.75503,2.56103,2.11712,0.00267,0.8,0.01192,0.00176,2.47923,5.01803,3.56163,0.000156832,0.000156832,0.000156832
4,34.7956,1.77321,2.29511,2.04335,0.00167,0.5,0.00138,0.0002,2.61875,4.96155,3.56686,0.000213466,0.000213466,0.000213466
5,43.7685,1.67701,2.08785,1.943,0.002,0.6,0.02473,0.00274,2.34485,4.58612,3.40294,0.000268912,0.000268912,0.000268912
6,52.9818,1.56608,2.07313,1.85826,0.00133,0.4,0.00097,0.0003,2.29458,4.70584,3.42625,0.00032317,0.00032317,0.00032317
7,61.7988,1.61653,1.91556,1.81453,0.00167,0.5,0.00487,0.00051,3.31453,5.31022,3.8921,0.00037624,0.00037624,0.00037624
8,70.7456,1.43361,1.80496,1.66528,0.001,0.3,0.00159,0.00021,3.86244,5.20487,4.59098,0.000428122,0.000428122,0.000428122
9,79.8299,1.47699,1.72797,1.72718,0.00067,0.2,0.00198,0.00027,4.16448,5.35143,5.18613,0.000478816,0.000478816,0.000478816
10,88.6351,1.41985,1.64798,1.69153,0.00067,0.2,0.00163,0.00016,4.21914,5.53914,4.92499,0.000528322,0.000528322,0.000528322
11,97.4501,1.36157,1.87215,1.76616,0.00067,0.2,0.00163,0.00016,4.69406,6.6908,5.07957,0.00057664,0.00057664,0.00057664
12,106.218,1.44122,1.71173,1.70045,0.00067,0.2,0.00062,9e-05,4.57609,6.71248,4.96819,0.00062377,0.00062377,0.00062377
13,115.131,1.40035,1.63742,1.67723,0.00267,0.8,0.0058,0.00118,3.73224,5.51009,3.88888,0.000669712,0.000669712,0.000669712
14,124.148,1.3816,1.64293,1.64799,0.00267,0.8,0.04423,0.00484,3.7366,5.20484,3.84823,0.000714466,0.000714466,0.000714466
15,133.19,1.43056,1.52571,1.66894,0.002,0.6,0.00868,0.00101,3.9416,5.79021,4.55265,0.000758032,0.000758032,0.000758032
16,142.358,1.50796,1.60499,1.72507,0.00167,0.5,0.00162,0.00032,4.16921,6.68555,4.95049,0.00080041,0.00080041,0.00080041
17,151.393,1.44486,1.52901,1.59784,0.00133,0.4,0.00191,0.00031,4.3395,7.02442,5.21233,0.0008416,0.0008416,0.0008416
18,160.367,1.3747,1.64409,1.62195,0.001,0.3,0.00407,0.00076,3.85105,5.50746,4.62893,0.000881602,0.000881602,0.000881602
19,169.664,1.58815,1.74908,1.8329,0.00033,0.1,0.00018,4e-05,3.48224,5.36638,4.49812,0.000920416,0.000920416,0.000920416
20,180.915,1.2336,1.38995,1.48961,0.00067,0.2,0.0004,4e-05,3.6604,5.17789,4.88174,0.000958042,0.000958042,0.000958042
21,192.958,1.48865,1.46772,1.70251,0.02367,0.1,0.00946,0.00103,3.63027,5.41785,4.67097,0.00099448,0.00099448,0.00099448
22,202.684,1.35586,1.34917,1.55378,0.002,0.6,0.01511,0.00236,3.51676,5.72877,4.27358,0.00102973,0.00102973,0.00102973
23,211.986,1.22764,1.27531,1.4683,0.00033,0.1,0.00043,4e-05,4.08031,5.50248,5.70001,0.00106379,0.00106379,0.00106379
24,221.139,1.40831,1.53337,1.65669,0.00067,0.2,0.00052,5e-05,3.95589,5.79677,4.98883,0.00109667,0.00109667,0.00109667
25,230.486,1.54335,1.57521,1.71442,0.003,0.9,0.00737,0.00155,3.27889,5.16621,3.87109,0.00112835,0.00112835,0.00112835
26,239.776,1.20822,1.36733,1.51558,0.00167,0.5,0.00195,0.00044,3.87089,4.57438,5.39957,0.00115885,0.00115885,0.00115885
27,249.158,1.32081,1.3716,1.56585,0.00133,0.4,0.00094,0.00011,3.90415,4.55344,5.75326,0.00118816,0.00118816,0.00118816
28,259.03,1.50008,1.66686,1.80257,0.00233,0.7,0.002,0.00027,3.65853,4.39499,5.31646,0.00121628,0.00121628,0.00121628
29,269.023,1.33379,1.42378,1.52911,0.00233,0.7,0.002,0.00027,3.65853,4.39499,5.31646,0.00124322,0.00124322,0.00124322
30,280.432,1.33927,1.35625,1.56845,0.002,0.6,0.00168,0.00029,3.28589,4.6668,4.78548,0.00126896,0.00126896,0.00126896
31,291.806,1.2394,1.33808,1.55737,0.00167,0.5,0.0013,0.0003,3.23187,5.47669,5.06822,0.00129352,0.00129352,0.00129352
