epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3589,1.91645,3.00047,2.18457,0.00283,0.85,0.16199,0.05428,2.13315,3.75681,3.21067,0.00018,0.00018,0.00018
2,65.8684,1.72587,2.72626,1.99784,0.00267,0.8,0.26977,0.09933,2.23079,3.75749,3.03658,0.000372476,0.000372476,0.000372476
3,98.3509,1.61643,2.61654,1.83736,0.00275,0.825,0.30786,0.09228,2.18779,3.63249,3.02454,0.000557032,0.000557032,0.000557032
4,131.149,1.65379,2.60637,1.83936,0.00317,0.95,0.25943,0.07532,2.03525,3.56555,2.89511,0.000733668,0.000733668,0.000733668
5,166.973,1.66837,2.47459,1.82858,0.39532,0.15,0.24262,0.0876,2.11933,3.43807,3.2863,0.000902384,0.000902384,0.000902384
6,205.557,1.69018,2.44533,1.84867,0.31442,0.12619,0.16806,0.04974,2.1344,3.44761,3.19043,0.00106318,0.00106318,0.00106318
7,243.779,1.70498,2.45903,1.84877,0.18936,0.225,0.13458,0.03294,2.36981,3.65787,3.46884,0.00121606,0.00121606,0.00121606
8,283.762,1.76404,2.39023,1.91755,0.14111,0.325,0.11807,0.03059,2.83662,3.77273,4.06204,0.00136101,0.00136101,0.00136101
9,323.85,1.77061,2.34697,1.90401,0.20006,0.35,0.22643,0.06018,2.95841,3.46562,4.10565,0.00149805,0.00149805,0.00149805
10,365.11,1.70272,2.31453,1.89541,0.35103,0.35162,0.19808,0.07275,2.71991,3.62899,4.46685,0.00162716,0.00162716,0.00162716
11,407.541,1.76885,2.36198,1.95467,0.13021,0.25,0.1307,0.05057,2.87141,3.43502,4.25087,0.001604,0.001604,0.001604
12,483.302,1.65509,2.28469,1.8738,0.20977,0.275,0.13939,0.04606,2.78151,3.45228,4.14842,0.0015644,0.0015644,0.0015644
13,521.633,1.79086,2.2625,1.9106,0.20928,0.2978,0.12078,0.05482,2.80963,3.51959,4.07364,0.0015248,0.0015248,0.0015248
14,559.605,1.64953,2.16902,1.83104,0.16515,0.225,0.12765,0.03003,2.76732,4.13221,4.01733,0.0014852,0.0014852,0.0014852
15,598.789,1.67482,2.05698,1.83959,0.2688,0.225,0.18752,0.04559,2.57502,3.79377,4.016,0.0014456,0.0014456,0.0014456
16,637.936,1.74532,2.15924,1.90161,0.16357,0.4,0.13686,0.04521,2.59041,3.14882,3.65589,0.001406,0.001406,0.001406
17,764.034,1.67742,2.08873,1.89737,0.28929,0.53942,0.27751,0.08027,2.42194,2.4656,3.43191,0.0013664,0.0013664,0.0013664
18,803.119,1.69108,2.03242,1.83414,0.34114,0.475,0.31796,0.08229,2.45596,2.55445,3.63494,0.0013268,0.0013268,0.0013268
19,843.389,1.64404,2.15134,1.80896,0.47866,0.45,0.36915,0.111,2.37149,2.73739,3.42482,0.0012872,0.0012872,0.0012872
20,883.833,1.58569,2.02055,1.81025,0.30892,0.275,0.20775,0.05851,2.25681,2.85345,3.13239,0.0012476,0.0012476,0.0012476
21,925.375,1.59283,1.95832,1.74514,0.40788,0.4,0.27535,0.06762,2.32556,2.79746,3.19933,0.001208,0.001208,0.001208
22,968.13,1.54604,1.98583,1.75919,0.46859,0.61735,0.38457,0.15563,2.36763,2.67492,3.52268,0.0011684,0.0011684,0.0011684
23,1011.95,1.50434,1.82064,1.72138,0.5369,0.6,0.39814,0.14061,2.3969,2.47116,3.83285,0.0011288,0.0011288,0.0011288
24,1055.37,1.50697,1.84507,1.73778,0.53669,0.6,0.46208,0.15393,2.47982,2.58101,3.68377,0.0010892,0.0010892,0.0010892
25,1099.53,1.48865,1.89158,1.70093,0.72315,0.7,0.58493,0.19199,2.25917,2.34311,3.2188,0.0010496,0.0010496,0.0010496
26,1143.14,1.57595,1.94391,1.76133,0.56837,0.65853,0.45904,0.12179,2.52733,2.23379,3.47488,0.00101,0.00101,0.00101
27,1187.28,1.47339,1.77425,1.68652,0.62092,0.65,0.46494,0.13138,2.53086,2.14421,3.54608,0.0009704,0.0009704,0.0009704
28,1231.83,1.4666,1.79611,1.68221,0.57626,0.575,0.45008,0.13207,2.41426,2.23635,3.47884,0.0009308,0.0009308,0.0009308
29,1275.88,1.50594,1.8028,1.7348,0.59793,0.525,0.42995,0.14075,2.43977,2.18259,3.50759,0.0008912,0.0008912,0.0008912
30,1320.15,1.43258,1.69408,1.69391,0.48405,0.5865,0.37116,0.12257,2.41497,2.44371,3.55114,0.0008516,0.0008516,0.0008516
31,1364.89,1.463,1.75788,1.68315,0.46875,0.625,0.45148,0.1524,2.44505,2.22241,3.51295,0.000812,0.000812,0.000812
32,1409.03,1.44548,1.78807,1.65371,0.58992,0.61153,0.47431,0.1604,2.41952,2.01739,3.38907,0.0007724,0.0007724,0.0007724
33,1453.15,1.50763,1.81435,1.69445,0.59427,0.65,0.46812,0.17647,2.2775,2.0514,3.10241,0.0007328,0.0007328,0.0007328
34,1497.1,1.39909,1.60586,1.65656,0.59921,0.625,0.4623,0.14453,2.35253,2.278,3.18299,0.0006932,0.0006932,0.0006932
35,1542.21,1.37184,1.59335,1.6195,0.62232,0.6,0.44941,0.14081,2.33684,2.43224,3.24034,0.0006536,0.0006536,0.0006536
36,1586.82,1.34867,1.58217,1.60747,0.54104,0.575,0.43413,0.1447,2.43115,2.13349,3.21459,0.000614,0.000614,0.000614
37,1631.11,1.35433,1.59243,1.60424,0.40054,0.6,0.34585,0.10956,2.45969,2.11091,3.18255,0.0005744,0.0005744,0.0005744
38,1674.87,1.37284,1.62242,1.57466,0.31447,0.375,0.30092,0.08476,2.48847,2.33473,3.2022,0.0005348,0.0005348,0.0005348
39,1719.77,1.33402,1.63429,1.59392,0.38205,0.4019,0.32523,0.10734,2.35656,2.31247,3.06044,0.0004952,0.0004952,0.0004952
40,1764.3,1.31193,1.477,1.56359,0.58356,0.6307,0.47129,0.17972,2.18362,2.22546,2.90525,0.0004556,0.0004556,0.0004556
41,1808.2,1.30385,1.69682,1.72327,0.64235,0.65,0.49814,0.18324,2.2086,2.1884,2.95393,0.000416,0.000416,0.000416
42,1851.22,1.26655,1.63268,1.72773,0.66334,0.65,0.4974,0.18014,2.1835,2.31983,2.98322,0.0003764,0.0003764,0.0003764
