epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.97421,2.36677,4.10354,2.60499,0.00687,0.5,0.22592,0.02371,2.32925,6.23593,3.55198,1.666e-05,1.666e-05,1.666e-05
2,16.0748,2.25869,4.15297,2.47448,0.00601,0.3,0.01945,0.00194,2.36291,6.1086,3.54519,4.08253e-05,4.08253e-05,4.08253e-05
3,23.9995,1.9665,3.86814,2.28308,0.01439,0.2,0.01498,0.0015,2.45258,6.21705,3.49212,6.40011e-05,6.40011e-05,6.40011e-05
4,31.9857,1.9681,3.81931,2.31328,0.03774,0.2,0.02376,0.00238,2.65047,6.58866,3.58235,8.61872e-05,8.61872e-05,8.61872e-05
5,40.0739,1.78997,3.672,2.17824,0.02632,0.1,0.01672,0.00167,2.88048,6.49543,3.62578,0.000107384,0.000107384,0.000107384
6,48.1322,1.56598,3.3321,1.95698,0.02632,0.1,0.01672,0.00167,2.80405,6.25566,3.60418,0.000127591,0.000127591,0.000127591
7,56.2192,1.73934,3.10752,2.00078,0.02174,0.1,0.01269,0.00127,2.95038,6.25528,3.74309,0.000146808,0.000146808,0.000146808
8,64.2678,1.53591,2.75893,1.83771,0.01923,0.1,0.01119,0.00112,3.14614,5.98127,3.98242,0.000165036,0.000165036,0.000165036
9,72.6005,1.5284,2.70525,1.8506,0.01923,0.1,0.01119,0.00112,3.3664,6.02112,4.07283,0.000182274,0.000182274,0.000182274
10,80.7984,1.61812,2.40904,1.90368,0.01887,0.1,0.01074,0.00107,3.67286,5.99892,4.45233,0.000198522,0.000198522,0.000198522
11,89.0306,1.68561,2.46527,1.9657,0.01887,0.1,0.01074,0.00107,4.20609,5.86815,5.25378,0.000213781,0.000213781,0.000213781
12,97.4578,1.60812,2.27544,1.93766,0.01887,0.1,0.01074,0.00107,4.34844,6.5497,5.35343,0.00022805,0.00022805,0.00022805
13,106.979,1.55885,2.01975,1.88033,0.01887,0.1,0.01074,0.00107,4.50366,6.79859,5.132,0.00024133,0.00024133,0.00024133
14,117.2,1.4849,2.12349,1.80007,0.01887,0.1,0.01074,0.00107,4.54669,7.60898,4.94638,0.00025362,0.00025362,0.00025362
15,126.998,1.48717,1.97328,1.81924,0.01887,0.1,0.01074,0.00107,4.53992,7.49077,4.86962,0.000264921,0.000264921,0.000264921
16,135.682,1.64494,1.99303,1.92382,0.01887,0.1,0.01074,0.00107,4.58651,7.10059,5.2229,0.000275232,0.000275232,0.000275232
