epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1911,2.09204,3.11331,2.3811,0.00304,0.91304,0.23035,0.07584,1.98654,3.9214,2.90221,0.00018,0.00018,0.00018
2,71.1907,1.86166,2.85174,2.0688,0.00275,0.82609,0.24852,0.09469,1.74417,3.82697,2.5978,0.000372476,0.000372476,0.000372476
3,106.234,1.65281,2.71507,1.89447,0.0029,0.86957,0.22879,0.06715,2.132,3.73536,2.93864,0.000557032,0.000557032,0.000557032
4,141.142,1.68798,2.63323,1.91958,0.00304,0.91304,0.23162,0.06515,2.27841,4.05168,3.08486,0.000733668,0.000733668,0.000733668
5,176.181,1.61881,2.42991,1.86746,0.00246,0.73913,0.04364,0.01082,3.08213,4.32589,4.12807,0.000902384,0.000902384,0.000902384
6,211.94,1.62845,2.36882,1.86471,0.02886,0.43478,0.05022,0.01536,2.73221,4.1206,4.28854,0.00106318,0.00106318,0.00106318
7,248.176,1.70008,2.42123,1.94857,0.03762,0.17391,0.01496,0.00465,2.88905,4.62348,3.75357,0.00121606,0.00121606,0.00121606
8,283.307,1.76216,2.34431,1.94707,0.13898,0.3913,0.10453,0.03548,2.53294,4.66636,3.47855,0.00136101,0.00136101,0.00136101
9,319.479,1.74648,2.32573,1.89414,0.18892,0.17391,0.07781,0.01637,2.66258,4.87117,3.70761,0.00149805,0.00149805,0.00149805
10,354.441,1.68997,2.26592,1.90805,0.18446,0.3913,0.15898,0.062,2.54901,4.72678,3.69048,0.00162716,0.00162716,0.00162716
11,389.972,1.68527,2.30407,1.87567,0.1554,0.04348,0.02717,0.00619,2.8794,4.32973,4.73322,0.001604,0.001604,0.001604
12,425.292,1.6822,2.24395,1.88368,0.02843,0.17391,0.01178,0.00254,3.33262,5.24891,5.15222,0.0015644,0.0015644,0.0015644
13,460.312,1.6811,2.11108,1.96608,0.38808,0.3913,0.26691,0.07697,2.43062,5.81874,3.57041,0.0015248,0.0015248,0.0015248
14,495.496,1.66538,2.12349,1.88309,0.34769,0.43478,0.25969,0.10865,2.40681,5.75409,3.61304,0.0014852,0.0014852,0.0014852
15,531.585,1.70927,2.11286,1.91399,0.1386,0.47826,0.12616,0.03792,2.59123,4.84617,3.68154,0.0014456,0.0014456,0.0014456
16,566.71,1.65002,2.09024,1.84265,0.16257,0.34783,0.2216,0.05199,2.35339,3.09134,3.25304,0.001406,0.001406,0.001406
17,603.048,1.62663,1.97365,1.78431,0.15147,0.43478,0.14534,0.03525,2.32288,3.33425,3.10273,0.0013664,0.0013664,0.0013664
