epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.20802,3.05781,4.76862,3.09409,0.00267,0.8,0.02157,0.00327,2.44143,4.92218,3.58265,4e-05,4e-05,4e-05
2,16.5206,2.96761,4.71106,3.11844,0.00267,0.8,0.09136,0.01002,2.51151,4.95553,3.50746,9.802e-05,9.802e-05,9.802e-05
3,24.7656,2.58175,4.69248,2.64398,0.00333,1,0.12316,0.0193,2.86594,4.85313,3.48409,0.000153664,0.000153664,0.000153664
4,33.3116,2.33977,4.77833,2.34833,0.003,0.9,0.21731,0.02543,2.93879,4.86241,3.41103,0.000206932,0.000206932,0.000206932
5,41.9791,2.2292,4.22847,2.16024,0.00333,1,0.55993,0.09293,2.8347,4.84822,2.79479,0.000257824,0.000257824,0.000257824
6,50.5729,2.1447,4.56343,2.08357,0.003,0.9,0.50802,0.08933,2.6647,4.62899,2.51777,0.00030634,0.00030634,0.00030634
7,59.3911,2.04403,3.90193,2.06354,0.00333,1,0.41547,0.09106,2.54781,4.51074,2.24587,0.00035248,0.00035248,0.00035248
8,68.2182,2.14812,3.98262,2.11314,0.00333,1,0.38316,0.08219,2.28768,4.50155,2.15813,0.000396244,0.000396244,0.000396244
9,77.4878,1.95582,3.76723,1.98709,0.00333,1,0.29522,0.06204,2.10744,4.58388,2.04919,0.000437632,0.000437632,0.000437632
10,87.9644,2.04193,3.76372,2.02532,0.00333,1,0.42648,0.09955,2.06638,4.13584,1.95852,0.000476644,0.000476644,0.000476644
11,98.608,1.9095,4.60181,2.01172,0.00333,1,0.33742,0.10047,1.85335,4.23946,1.94103,0.00051328,0.00051328,0.00051328
12,109.137,2.06429,3.78822,1.98611,0.00333,1,0.41505,0.1065,2.03061,4.1053,2.1938,0.00054754,0.00054754,0.00054754
13,119.618,2.08313,3.64419,2.05555,0.003,0.9,0.43451,0.08415,2.19569,3.96408,2.06373,0.000579424,0.000579424,0.000579424
14,129.957,2.14548,3.21299,1.94326,0.00333,1,0.32779,0.06988,2.24923,4.07369,2.01669,0.000608932,0.000608932,0.000608932
15,140.508,1.97295,3.41871,1.92947,0.00333,1,0.07435,0.02406,2.50321,4.83464,2.2742,0.000636064,0.000636064,0.000636064
16,151.206,1.90993,3.39031,1.86874,0.00333,1,0.22897,0.06164,2.37616,4.45716,2.16437,0.00066082,0.00066082,0.00066082
17,162.085,1.97807,3.18725,1.88287,0.003,0.9,0.03235,0.00895,2.41977,4.48992,2.08572,0.0006832,0.0006832,0.0006832
18,172.604,1.88699,3.49628,1.88535,0.00333,1,0.03748,0.01456,2.38296,4.30871,1.99739,0.000703204,0.000703204,0.000703204
19,183.294,1.99415,3.78537,2.00735,0.00333,1,0.07031,0.02596,2.14428,4.74733,1.92656,0.000720832,0.000720832,0.000720832
20,193.971,1.79966,2.80854,1.84458,0.00333,1,0.09477,0.03059,2.13017,4.41991,1.87954,0.000736084,0.000736084,0.000736084
21,204.879,2.04533,3.0877,2.0537,0.00333,1,0.14421,0.04531,2.17231,4.19516,1.85646,0.00074896,0.00074896,0.00074896
22,216.015,2.03413,3.23219,1.93826,0.00333,1,0.17195,0.04966,2.08098,4.45449,1.83306,0.00075946,0.00075946,0.00075946
23,227.134,1.97601,3.19316,1.90188,0.07615,0.9,0.13034,0.04794,2.22472,4.06772,1.91172,0.000767584,0.000767584,0.000767584
24,239.313,1.82393,3.09802,1.79204,0.24025,0.3,0.26259,0.08857,2.05494,3.6226,1.7835,0.000773332,0.000773332,0.000773332
25,251.295,1.78244,3.03149,1.69681,0.30952,0.31496,0.23123,0.06588,2.24085,3.71776,1.94656,0.000776704,0.000776704,0.000776704
26,263.049,1.73798,2.98102,1.62569,0.15585,0.33334,0.1629,0.0392,2.55471,3.69578,2.16012,0.0007777,0.0007777,0.0007777
27,274.728,1.86676,2.97965,1.71933,0.24417,0.26073,0.20328,0.05682,2.48479,3.76136,2.04723,0.00077632,0.00077632,0.00077632
28,286.098,1.96002,3.41346,1.94959,0.20329,0.2,0.20178,0.09664,2.43014,3.97153,1.96892,0.000772564,0.000772564,0.000772564
29,297.539,1.69181,3.05847,1.5853,0.20329,0.2,0.20178,0.09664,2.43014,3.97153,1.96892,0.000766432,0.000766432,0.000766432
30,309.342,1.83343,2.75631,1.80683,0.29548,0.4,0.30896,0.11815,2.20955,3.32199,1.76298,0.000757924,0.000757924,0.000757924
31,320.981,1.82885,3.01781,1.75869,0.23601,0.4,0.23905,0.07936,2.31153,3.39293,1.92787,0.00074704,0.00074704,0.00074704
32,334.709,1.62634,2.80747,1.66061,0.2108,0.3,0.18223,0.03486,2.56153,3.20036,2.26482,0.00073378,0.00073378,0.00073378
33,345.263,1.7916,2.57376,1.68512,0.2108,0.3,0.18223,0.03486,2.56153,3.20036,2.26482,0.000718144,0.000718144,0.000718144
34,355.955,1.8989,2.82296,1.74972,0.49153,0.3,0.31098,0.06969,2.62525,3.19426,2.4531,0.0006932,0.0006932,0.0006932
35,366.812,1.69733,2.84134,1.6859,0.2642,0.2,0.22126,0.08696,2.64278,3.17959,2.57285,0.0006536,0.0006536,0.0006536
36,377.425,1.61943,3.08082,1.69905,1,0.37688,0.50179,0.11444,2.48955,2.97508,2.51932,0.000614,0.000614,0.000614
37,388.066,1.619,2.52418,1.64922,1,0.37688,0.50179,0.11444,2.48955,2.97508,2.51932,0.0005744,0.0005744,0.0005744
38,399.187,1.53772,2.25017,1.56396,0.80823,0.3,0.46636,0.11806,2.38678,2.9338,2.38506,0.0005348,0.0005348,0.0005348
39,410.062,1.69822,2.73089,1.68619,0.36421,0.4,0.56836,0.13294,2.41299,2.80765,2.35,0.0004952,0.0004952,0.0004952
